Z04063000                       USGS 
H04063000       4557050881121005526037SW040301081760           1119.23          
N04063000       MENOMINEE RIVER NEAR FLORENCE, WI
Y04063000       
304063000       19150511   429016                                      
304063000       19160423  1670016                                      
304063000       19170422   874016                                      
304063000       19180602   523016                                      
304063000       19190413   708016                                      
304063000       19200328   792016                                      
304063000       19210429  1310016                                      
304063000       19220411   956016                                      
304063000       19230423  1000016                                      
304063000       19240517   505016                                      
304063000       19250425   350016                                      
304063000       19260423   728016                                      
304063000       19270319   740016                                      
304063000       19280506  1060016                                      
304063000       19290409  1350016                                      
304063000       19300508   729016                                      
304063000       19310423   227016                                      
304063000       19320831   538016                                      
304063000       19330421  1120016                                      
304063000       19340503  1000016                                      
304063000       19350428   560016                                      
304063000       19360504   777016                                      
304063000       19370427   853016                                      
304063000       19380401  1190016                                      
304063000       19390428  1060016                                      
304063000       19400502   963016                                      
304063000       19410415   410016                                      
304063000       19420607   546016                                      
304063000       19430618  1010016                                      
304063000       19440607   609016                                      
304063000       19450524   654016                                      
304063000       19460626   795016                                      
304063000       19470425   532016                                      
304063000       19480429   459016                                      
304063000       19490708   663016                                      
304063000       19500508  143006              11.526                   
304063000       19510413  121006              10.46                    
304063000       19520421  104006               9.77                    
304063000       19530702  188006              13.81                    
304063000       19540428  129006              10.92                    
304063000       19550416   95206               9.44                    
304063000       19560711   63506               7.67                    
304063000       19570422   42406               6.33                    
304063000       19580701  111006              10.12                    
304063000       19590929   78606               8.57                    
304063000       19600426  195006              14.15                    
304063000       19610515   84806               8.84                    
304063000       19620430   40506               6.10                    
304063000       19630603   37706               5.992                   
304063000       19640526   51006               6.90                    
304063000       19650511  145006              11.86                    
304063000       19660609   57906               7.35                    
304063000       19670420  116006              10.36                    
304063000       19680910   76406               8.42                    
304063000       19690416   65306               7.80                    
304063000       19700602  113006              10.23                    
304063000       19710418  102006               9.79                    
304063000       19720504   95006               9.35                    
304063000       19730503  104006               9.81                    
304063000       19740423   41606               6.27                    
304063000       19750425   82406               8.72                    
304063000       19760422  105006               9.83                    
304063000       19770423   42706               6.35                    
304063000       19780918   48706               6.76                    
304063000       19790512   94406               9.32                    
304063000       19800923   58406               7.38                    
304063000       19810615  126006              10.89                    
304063000       19820509   92206               9.21                    
304063000       19830605   81006               8.65                    
304063000       19831125   51206               6.93                    
304063000       19850423  120006              10.61                    
304063000       19860407  102006               9.79                    
304063000       19861012   34106               5.79                    
304063000       19880407   46106               6.67                    
304063000       19890611   76106               8.47                    
304063000       19900614   42006               6.38                    
304063000       19910409   57406               7.40                    
304063000       19920422   56506               7.34                    
304063000       19930506   55506               7.28                    
304063000       19940429   38206               6.17                    
304063000       19950517   54406               7.21                    
304063000       19960426  117006              10.46                    
304063000       19970407   71506              10.103                   
304063000       19980401   64806              10.443                   
304063000       19990715   67606               8.00                    
304063000       20000809   32206               5.71                    
304063000       20010413   63206               7.84                    
304063000       20020417  154006              12.21                    
304063000       20030513   81506               8.88                    
304063000       20040421  100006               9.84                    
304063000       20050408   46206               6.75                    
304063000       20060404   51506               7.11                    
304063000       20070326   29606               5.49                    
304063000       20080423   56706               7.44                    
304063000       20090427   29306               5.47                    
304063000       20100925   44306               6.62                    
304063000       20110514   44306               6.62                    
304063000       20120706   36706               6.06                    
304063000       20130502  101006               9.83                    
