Z04118000                       USGS 
H04118000       4248400852900002626081SW04050007773            676.31           
N04118000       THORNAPPLE RIVER NEAR CALEDONIA, MI
Y04118000       
304118000       19310607    8651                                       
304118000       19320330   18401                                       
304118000       19330406   17501                                       
304118000       19340405   17501                                       
304118000       19350306   25801                                       
304118000       19360328   26801                                       
304118000       19370422   37801                                       
304118000       19380214   42201                                       
304118000       19520413   3700                8.96                    
304118000       19530316   1190                5.36                    
304118000       19540326   2710                7.62                    
304118000       19541006   25706               7.44                    
304118000       19560510   6290               10.79                    
304118000       19570522   3480                8.35                    
304118000       19580303   1930                6.41                    
304118000       19590321   3410                8.27                    
304118000       19600402   5920               10.60                    
304118000       19610428   1630                5.97                    
304118000       19620322   3420                8.28                    
304118000       19630321   1740                6.14                    
304118000       19640407    761                4.61                    
304118000       19650410   3880                8.78                    
304118000       19660211   1770                6.18                    
304118000       19670329   2510                7.21                    
304118000       19680205   3260                8.38                    
304118000       19690201   2670                7.03                    
304118000       19700413   3060                7.76                    
304118000       19710227   3150                7.62                    
304118000       19720419   3420                7.96                    
304118000       19730103   4900                8.93                    
304118000       19740125   49002                                       
304118000       19750422   6140               10.96                    
304118000       19760308   4520                9.25                    
304118000       19770310   1580                5.55                    
304118000       19780326   3180                7.68                    
304118000       19790309   5070                9.86                    
304118000       19800412   1890                5.99                    
304118000       19810222   4250                8.94                    
304118000       19840215   2540                7.11                    
304118000       19850227   6700               11.43                    
304118000       19860315   5080                9.87                    
304118000       19861005   4830                9.59                    
304118000       19871221   32402               7.805                   
304118000       19890604   5040                9.82                    
304118000       19900314   380012                                      
304118000       19901201   4680                9.44                    
304118000       19911201   2390                7.07                    
304118000       19930423   4810                9.58                    
304118000       19940224   3500                8.11                    
304118000       19941107   2850                7.31                    
304118000       19960622   3780                8.45                    
304118000       19970222   5820                10.6                    
304118000       19980320   2720                7.14                    
304118000       19990424   3900                8.58                    
304118000       20000519   5010                9.79                    
304118000       20010215   4610                9.37                    
304118000       20020310   2960                7.45                    
304118000       20030407   2130                6.37                    
304118000       20040526   6460               11.21                    
304118000       20050116   4410                9.15                    
304118000       20060314   2700                7.11                    
304118000       20070314   3540                8.17                    
304118000       20080611   4710                9.47                    
304118000       20081228   5960               10.33                    
304118000       20100315   4250                8.70                    
304118000       20110801   4560                9.00                    
304118000       20120303   2810                7.16                    
304118000       20130419   7440               11.69                    
