Z04122000                       USGS 
H04122000       4325200854807002626123SW040601022350           625.83           
N04122000       MUSKEGON RIVER AT NEWAYGO, MI
Y04122000       
304122000       19100324   452015                                      
304122000       19110414   590015                                      
304122000       19120522  1340015                                      
304122000       19130325  1495015                                      
304122000       19140330   525015                                      
304122000       19150224   610015                                      
304122000       19170328   780015                                      
304122000       19180322  1200015                                      
304122000       19190322   988015                                      
304122000       19310528   28305              48.60                    
304122000       19311123   580015             50.20                    
304122000       19330503   661015             50.70                    
304122000       19331206   384015             49.00                    
304122000       19350328   559015             50.10                    
304122000       19360327   339015             48.80                    
304122000       19361230   542015             50.00                    
304122000       19380214   876015             51.90                    
304122000       19390427   42105              48.88                    
304122000       19400331   35305              48.52                    
304122000       19410421   37605              48.93                    
304122000       19420331   57805              50.22                    
304122000       19430402   89405              51.99                    
304122000       19440425   36505              48.92                    
304122000       19450602  116005              53.76                    
304122000       19460318   940015                                      
304122000       19470412   63905              50.55                    
304122000       19480321   80705              51.63                    
304122000       19490405   56705              50.14                    
304122000       19500404   98305              52.70                    
304122000       19510501   56705              50.08                    
304122000       19520413   69505              50.86                    
304122000       19530505   61505              50.41                    
304122000       19540623   61505              50.41                    
304122000       19550326   50305              49.70                    
304122000       19560409   760025                                      
304122000       19570712  100005              52.83                    
304122000       19571025   43605              49.28                    
304122000       19590410   97505              52.65                    
304122000       19600417   66305              50.70                    
304122000       19610326   46805              49.55                    
304122000       19620330   61705              50.41                    
304122000       19630329   60105              50.31                    
304122000       19640501   45805               9.426                   
304122000       19650412   71905              11.05                    
304122000       19651215   60505              10.34                    
304122000       19661210   70605              10.97                    
304122000       19680628   51305               9.722                   
304122000       19690701   95505              13.98                    
304122000       19700603   59005              12.08                    
304122000       19710417   72205              12.312                   
304122000       19720420   51905              10.59                    
304122000       19730309   63905              10.67                    
304122000       19740518   70205              11.01                    
304122000       19750902   98005              12.75                    
304122000       19760330  108005              13.37                    
304122000       19770313   51705               9.782                   
304122000       19780411   58005              10.20                    
304122000       19790402   61005              10.40                    
304122000       19800321   54105               9.94                    
304122000       19810224   53005               9.87                    
304122000       19820403   55905              10.06                    
304122000       19821204   67205              10.50                    
304122000       19840617   63005              10.54                    
304122000       19841230   70905              11.06                    
304122000       19860912  232005              19.54                    
304122000       19861001   99405              12.88                    
304122000       19880404   62805              10.57                    
304122000       19890402   82905              11.83                    
304122000       19900314   61705              10.50                    
304122000       19910416   68705              10.95                    
304122000       19911101   74005              11.28                    
304122000       19930421   62805              10.57                    
