Z04146063                       USGS 
H04146063       4309340832103002626087SW04080204221            765              
N04146063       SOUTH BRANCH FLINT RIVER NEAR COLUMBIAVILLE,MI
Y04146063       
304146063       19800406   10001                                       
304146063       19810219   11902               6.851                   
304146063       19820315   2510                8.34                    
304146063       19830503    657                4.08                    
304146063       19840322    803                4.582                   
304146063       19850909   3090                9.602                   
304146063       19860312   1910                7.29                    
304146063       19861001   1870                7.21                    
304146063       19871221    716                4.32                    
304146063       19890601    474                3.532                   
304146063       19900313    858                4.742                   
304146063       19910329    719                4.332                   
304146063       19920426    844                4.70                    
304146063       19930330    994                5.12                    
304146063       19940222   1690                6.81                    
304146063       19950314    830                4.66                    
304146063       19960621   1000                5.35                    
304146063       19970223   1590                6.73                    
304146063       19980110   1110                5.55                    
304146063       19990424    592                3.98                    
304146063       20000520    816                4.57                    
304146063       20010211   189012              8.211                   
304146063       20020310    569                4.12                    
304146063       20030319    6002               5.171                   
304146063       20040525   1490                6.70                    
304146063       20050114    885                5.04                    
304146063       20060314   1440                6.57                    
304146063       20070315    737                4.57                    
304146063       20080917   1240                6.05                    
304146063       20090811   2520                8.96                    
304146063       20100514    737                4.57                    
304146063       20110429   1690                7.17                    
304146063       20120317    464                3.59                    
304146063       20130413    138                6.42                    
