Z04161540                       USGS 
H04161540       4241180830835002626125SW0409000370.9           755.11           
N04161540       PAINT CREEK AT ROCHESTER, MI
Y04161540       
304161540       19600331    4802                                       
304161540       19610425    142                2.432                   
304161540       19620312    3902                                       
304161540       19630510    144                2.472                   
304161540       19640509    144                2.47                    
304161540       19650210    880                5.951                   
304161540       19660322    241                3.22                    
304161540       19670417    402                3.55                    
304161540       19680101    918                5.22                    
304161540       19690130    4602                                       
304161540       19700406    155                3.18                    
304161540       19710227    315                4.10                    
304161540       19720823    290                3.972                   
304161540       19721231    490                4.85                    
304161540       19740305    788                5.75                    
304161540       19750419    819                5.79                    
304161540       19760305    546                3.99                    
304161540       19770328    215                2.962                   
304161540       19780323    270                3.14                    
304161540       19790414    456                3.79                    
304161540       19800727    534                3.932                   
304161540       19810218    326                3.29                    
304161540       19811001    721                4.38                    
304161540       19830502    518                3.87                    
304161540       19840321    413                3.57                    
304161540       19850224    690                4.421                   
304161540       19860311    561                4.05                    
304161540       19870910    264                3.12                    
304161540       19880805    361                3.502                   
304161540       19890822    644                4.25                    
304161540       19900222    352                3.47                    
304161540       19910526    389                3.57                    
304161540       19920906    309                3.312                   
304161540       19930401    409                3.63                    
304161540       19940128    3402               3.7512                   
304161540       19950628    320                3.35                    
304161540       19960619    8902                                       
304161540       19970329    348                3.43                    
304161540       19980218    763                4.56                    
304161540       19990701    557                4.06                    
304161540       20000625    679                4.28                    
304161540       20010209   1200                5.27                    
304161540       20011016    621                4.08                    
304161540       20030316    357                3.47                    
304161540       20040523   1930                6.52                    
304161540       20050716    668                4.36                    
304161540       20060217    525                3.97                    
304161540       20061201    385                3.53                    
304161540       20080915    846                4.78                    
304161540       20090420    542                3.97                    
304161540       20100606    298                3.15                    
304161540       20110728    586                4.10                    
304161540       20120810    457                3.71                    
304161540       20130628    851                4.79                    
