Z04041500                       USGS 
H04041500       4643350883943002626013SW04020104346            709.64           
N04041500       STURGEON RIVER NEAR ALSTON, MI
Y04041500       
304041500       19320421   185815                                      
304041500       19330421   320015                                      
304041500       19340503   427015                                      
304041500       19350415   159915                                      
304041500       19360502   277815                                      
304041500       19370426   279015                                      
304041500       19380401   314115                                      
304041500       19390426   412115                                      
304041500       19400520   376415                                      
304041500       19410414   343615                                      
304041500       19420417   277015                                      
304041500       19430507   428015                                      
304041500       19440606   383015                                      
304041500       19450326   363015                                      
304041500       19460322   164015                                      
304041500       19470430   276015                                      
304041500       19480428   28105              48.633                   
304041500       19490506   34705              49.443                   
304041500       19500506   47305              50.833                   
304041500       19510429   50005              51.123                   
304041500       19520420   44605              50.473                   
304041500       19530804   41005              50.063                   
304041500       19540426   44805              50.263                   
304041500       19550414   36005              49.433                   
304041500       19560514   23305              47.683                   
304041500       19570422   47505              50.573                   
304041500       19580419   26505              48.243                   
304041500       19590418   35605              49.183                   
304041500       19600424   73605              53.093                   
304041500       19610422   28405              48.673                   
304041500       19620422   20705              47.713                   
304041500       19630402   31105              48.993                   
304041500       19640414   47205               9.636                   
304041500       19650510   44805               9.73                    
304041500       19660425   29305               8.23                    
304041500       19670616   59205              10.93                    
304041500       19680716   62005              11.64                    
304041500       19690415   35005               8.80                    
304041500       19700531   17405               6.47                    
304041500       19710418   39805               9.18                    
304041500       19720502   41205               9.33                    
304041500       19730510   42605               9.49                    
304041500       19740422   29205               8.00                    
304041500       19750521   39605               9.15                    
304041500       19760417   36805               8.84                    
304041500       19770416   25805               7.62                    
304041500       19780823   39505               9.14                    
304041500       19790427   44705               9.72                    
304041500       19800914   48105               9.97                    
304041500       19810330   30005               7.96                    
304041500       19820426   36905               8.72                    
304041500       19830602   25405               7.44                    
304041500       19840414   25705               7.48                    
304041500       19850421   59505              11.43                    
304041500       19860401   40305               9.20                    
304041500       19870813   20505               6.92                    
304041500       19880407   31305               8.20                    
304041500       19890608   31005               8.17                    
304041500       19900316   22905               7.19                    
304041500       19910413   31705               8.27                    
304041500       19920702   57705              11.25                    
304041500       19921026   20505               6.91                    
304041500       19940420   24305               7.39                    
304041500       19950529   17605               6.51                    
304041500       19960519   38505               9.00                    
304041500       19970406   40005               9.18                    
304041500       19980330   30305               7.88                    
304041500       19990526   36605               8.72                    
304041500       20000327   20705               7.07                    
304041500       20010408   31405               8.37                    
304041500       20020418   657015             11.92                    
304041500       20030512   45805               9.74                    
304041500       20040420   43805               9.74                    
304041500       20050406   44705               9.62                    
304041500       20051005   25805               7.78                    
304041500       20070326   25805               7.76                    
304041500       20080423   40505               9.13                    
304041500       20090425   32405               8.38                    
304041500       20100924   42305               9.32                    
304041500       20110412   21605               7.30                    
304041500       20120320   25805               7.74                    
304041500       20130501   61305              10.51                    
