Z04112500                       USGS 
H04112500       4243380842841002626065SW04050004355            823.96           
N04112500       RED CEDAR RIVER AT EAST LANSING, MI
Y04112500       
304112500       19030415   27001                                       
304112500       19040324   80002              13.40                    
304112500       19110218    990                5.50                    
304112500       19120403   4100                9.50                    
304112500       19130405   2740                7.90                    
304112500       19140514   2660                7.80                    
304112500       19150216   2920                8.10                    
304112500       19160327   4700               10.20                    
304112500       19170407   2490                7.60                    
304112500       19180315   5130               10.70                    
304112500       19190317   3080                8.30                    
304112500       19200313   3680                9.00                    
304112500       19210326   1110                5.70                    
304112500       19220413   2160                7.20                    
304112500       19230305   1920                6.90                    
304112500       19240307   1760                6.70                    
304112500       19250321    990                5.50                    
304112500       19260320   2660                7.80                    
304112500       19270315    824                5.20                    
304112500       19280408   1290                6.00                    
304112500       19290301   1840                6.80                    
304112500       19300222   2160                7.20                    
304112500       19310630    222                3.40                    
304112500       19320905   1610                6.14                    
304112500       19330402   2310                7.11                    
304112500       19340404   1340                5.55                    
304112500       19350305   1800                6.19                    
304112500       19360227   1020                5.37                    
304112500       19370418   2330                7.12                    
304112500       19380214   4020                9.20                    
304112500       19390419   1760                6.72                    
304112500       19400330   1970                7.05                    
304112500       19410103   1020                5.542                   
304112500       19420318   2660                7.83                    
304112500       19421229   2490                7.60                    
304112500       19440227   2320                7.42                    
304112500       19450519   2930                8.10                    
304112500       19460304   2320                7.35                    
304112500       19470407   5920               11.58                    
304112500       19480320   4960               10.47                    
304112500       19490216   2580                7.68                    
304112500       19500329   3170                8.37                    
304112500       19510104   2240                7.27                    
304112500       19520415   2740                7.87                    
304112500       19530305    878                5.30                    
304112500       19540217   2490                7.58                    
304112500       19550304   1440                6.27                    
304112500       19560514   3310                8.62                    
304112500       19570713   2400                7.49                    
304112500       19571221    895                5.33                    
304112500       19590307   1950                6.99                    
304112500       19600331   3580                9.18                    
304112500       19610426   1170                5.86                    
304112500       19620313   2300                7.49                    
304112500       19630321   1380                6.18                    
304112500       19640508    351                4.29                    
304112500       19650211   2420                7.66                    
304112500       19660324   1050                5.67                    
304112500       19670315   1480                6.392                   
304112500       19680628   2960                8.81                    
304112500       19690131   1590                6.53                    
304112500       19700408   1220                5.92                    
304112500       19710221   2150                7.46                    
304112500       19720418   1430                6.26                    
304112500       19730101   2510                8.07                    
304112500       19740310   2110                7.40                    
304112500       19750420   5940               11.95                    
304112500       19760306   2250                7.46                    
304112500       19770427    785                5.11                    
304112500       19780324   1650                6.60                    
304112500       19790306   1980                7.07                    
304112500       19800319   1090                5.70                    
304112500       19810220   2710                8.06                    
304112500       19820316   3640                9.23                    
304112500       19830503   1280                6.01                    
304112500       19840214    950                5.44                    
304112500       19850226   3840                9.46                    
304112500       19860312   2250                7.43                    
304112500       19861005   1290                5.98                    
304112500       19880408   1190                5.81                    
304112500       19890601   1720                6.66                    
304112500       19900313   1700                6.63                    
304112500       19901129   1150                5.742                   
304112500       19920426   1530                6.41                    
304112500       19930421   2120                7.28                    
304112500       19940709   2040                7.17                    
304112500       19950313   1560                6.46                    
304112500       19960620   2020                7.13                    
304112500       19970223   1560                6.49                    
304112500       19980311   1680                6.64                    
304112500       19990425   2200                7.39                    
304112500       20000520   1140                5.77                    
304112500       20010212   3380                8.93                    
304112500       20020310   1060                5.63                    
304112500       20030406   1290                6.02                    
304112500       20040524   2260                7.48                    
304112500       20050115   2060                7.19                    
304112500       20060315   1750                6.74                    
304112500       20070606   1460                6.29                    
304112500       20080110   2280                7.50                    
304112500       20090311   2090                7.23                    
304112500       20100314   1700                6.66                    
304112500       20110429   1870                6.92                    
304112500       20111205   1050                5.62                    
304112500       20130421   2550                7.86                    
