Z04130000                       USGS 
H04130000       4534380842915002626031SW04070004889            591.21           
N04130000       CHEBOYGAN RIVER NEAR CHEBOYGAN, MI
Y04130000       
304130000       19430416   15901                                       
304130000       19431211   11601                                       
304130000       19450422   12601                                       
304130000       19460327   12901                                       
304130000       19470531   15001                                       
304130000       19480430   15001                                       
304130000       19490313   12001                                       
304130000       19500507   15001                                       
304130000       19510428   15501                                       
304130000       19520422   15501               2.68                    
304130000       19530329   13501                                       
304130000       19540615   12001                                       
304130000       19550608   12001                                       
304130000       19560418   10401                                       
304130000       19570717   11601                                       
304130000       19571119   10301                                       
304130000       19590508   16401                                       
304130000       19600513   15601                                       
304130000       19610916   13101                                       
304130000       19620515   14801                                       
304130000       19630514   13901                                       
304130000       19640430   11201                                       
304130000       19650511   13901                                       
304130000       19660104   12401                                       
304130000       19670417   15001                                       
304130000       19680824   15101                                       
304130000       19690514   13301                                       
304130000       19700926   13801                                       
304130000       19710610   16301                                       
304130000       19720518   16001                                       
304130000       19730811   13901                                       
304130000       19740705   14601                                       
304130000       19750516   13301                                       
304130000       19760426   16301                                       
304130000       19770413   16101                                       
304130000       19780517   16201                                       
304130000       19790522   19701                                       
304130000       19800429   12601                                       
304130000       19810403   12401                                       
304130000       19820503   14901                                       
