Z04164100                       USGS 
H04164100       4249210830113002626099SW0409000321.8           773.97           
N04164100       EAST POND CREEK AT ROMEO, MI
Y04164100       
304164100       19590306    1502                                       
304164100       19600330    173                2.96                    
304164100       19610429   42.0                1.622                   
304164100       19620312    1052               4.561                   
304164100       19630327   51.0                1.922                   
304164100       19640509   78.0                2.12                    
304164100       19650210    358                4.48                    
304164100       19660322   62.0                1.922                   
304164100       19670417    189                3.19                    
304164100       19680201    318                4.16                    
304164100       19690728    105                2.41                    
304164100       19700404   55.0                1.992                   
304164100       19710315    100                2.502                   
304164100       19720416   86.0                2.482                   
304164100       19721231    161                3.15                    
304164100       19740517    282                3.88                    
304164100       19750419    306                4.06                    
304164100       19760305    177                3.19                    
304164100       19770305   65.0                2.112                   
304164100       19780324    117                2.66                    
304164100       19790305    180                3.711                   
304164100       19800317    187                3.27                    
304164100       19810904    117                2.66                    
304164100       19811001    196                3.34                    
304164100       19830502    124                2.73                    
304164100       19840321    134                2.82                    
304164100       19850224    245                3.861                   
304164100       19860311    139                2.74                    
304164100       19870725    327                4.26                    
304164100       19871220   70.0                2.032                   
304164100       19890610    179                3.25                    
304164100       19900517   80.0                2.382                   
304164100       19910526   94.0                2.52                    
304164100       19920424   51.0                2.06                    
304164100       19930401    131                2.87                    
304164100       19940220   45.012                                      
304164100       19950628   61.0                2.192                   
304164100       19960621    216                3.56                    
304164100       19970329    140                2.95                    
304164100       19980218    119                2.96                    
304164100       19990701    149                3.03                    
304164100       20000923    183                3.77                    
304164100       20010210    210                3.98                    
304164100       20011017    119                3.19                    
304164100       20030404    118                3.182                   
304164100       20040523    418                4.54                    
304164100       20050113     85                2.792                   
304164100       20060313     91                2.88                    
304164100       20061201     89                2.85                    
304164100       20080914    225                3.86                    
304164100       20090809    254                3.99                    
304164100       20100314   80.0                2.77                    
304164100       20110519    180                3.81                    
304164100       20111130   83.0                2.96                    
304164100       20130419    102                3.13                    
